income,debt_ratio,missed_payments,credit_history_months,label
87390.22,0.5588,0,251,1
27521.03,0.4487,0,195,0
72801.41,0.5598,1,76,0
66634.72,0.1527,1,46,0
45827.17,0.522,0,79,0
31234.36,0.419,2,112,0
61849.44,0.6235,0,139,0
47180.14,0.3231,0,26,0
66483.18,0.2752,2,169,1
60465.82,0.5908,2,244,0
123105.93,0.1569,1,53,1
53760.27,0.2651,2,132,0
37775.88,0.532,0,140,0
64904.62,0.328,2,123,0
66104.92,0.3662,1,109,0
110374.5,0.6654,0,96,1
87186.09,0.399,0,94,1
70304.56,0.4113,0,160,1
115668.81,0.2812,0,291,1
35068.43,0.0489,1,85,0
44896.35,0.0417,1,102,1
39459.92,0.5259,0,154,0
50240.94,0.1968,0,49,1
32224.79,0.0855,1,74,0
79683.51,0.3046,0,139,1
54176.35,0.5196,0,90,1
30888.44,0.2906,0,96,1
37910.73,0.3157,2,200,0
68946.16,0.732,3,67,0
87304.47,0.162,1,93,1
147050.14,0.1161,1,47,1
222178.88,0.4337,0,96,1
72148.68,0.1659,0,70,1
38357.6,0.0898,0,62,1
22938.66,0.4935,1,131,0
67539.65,0.3221,0,71,0
41530.21,0.4997,0,156,1
49666.66,0.2481,0,87,1
45458.56,0.1217,0,53,1
56198.43,0.1502,0,234,1
96731.18,0.574,0,82,1
64258.66,0.4123,0,119,0
55748.98,0.3998,0,32,0
37569.8,0.3284,0,132,1
28180.7,0.1625,0,123,1
48105.96,0.3664,0,111,0
58442.45,0.7902,0,257,0
132663.15,0.2094,0,29,1
63489.1,0.6566,1,121,0
93174.82,0.5059,0,118,1
47825.63,0.6205,2,264,0
35128.76,0.7507,0,94,0
38781.46,0.1969,0,99,1
43202.27,0.1243,0,142,1
156031.22,0.4812,0,86,1
41372.68,0.4784,0,105,1
87318.72,0.1658,1,67,1
39882.1,0.5733,1,49,0
91053.99,0.4415,0,67,1
71198.56,0.4177,0,116,1
55799.1,0.1369,0,107,1
58785.87,0.6204,2,40,0
44593.6,0.7667,1,44,0
73184.03,0.3525,1,127,1
48788.87,0.38,0,145,1
34491.82,0.3157,0,25,0
33689.05,0.4708,2,63,0
64709.58,0.0628,1,62,1
121855.48,0.3265,1,212,1
64343.82,0.5376,1,172,0
56761.45,0.2248,1,237,1
68092.46,0.606,0,72,0
107764.2,0.7684,1,187,0
66086.66,0.6077,0,49,0
49765.77,0.3539,0,110,1
98501.78,0.4747,1,37,0
72615.99,0.2482,0,150,1
119502.22,0.8479,1,93,0
65020.34,0.129,0,55,1
34509.47,0.7434,1,214,0
32348.68,0.5906,0,115,0
125859.01,0.1829,2,34,0
130046.79,0.532,0,101,1
55227.5,0.3677,3,7,0
50390.89,0.3181,0,183,1
115572.11,0.3005,1,129,1
36382.0,0.3095,0,206,1
40029.54,0.4217,0,119,0
79977.21,0.6948,0,161,0
50132.65,0.0738,2,94,0
59736.3,0.1424,0,53,1
55628.49,0.1045,2,108,0
69696.72,0.5802,1,94,0
112799.46,0.3853,0,136,1
62365.23,0.1741,1,141,1
79999.24,0.3276,0,125,1
23799.56,0.4451,0,100,0
58575.79,0.1708,0,115,1
40967.99,0.3701,0,38,1
34597.41,0.4206,0,297,1
40329.22,0.0431,0,71,1
51515.83,0.5093,0,134,0
90414.16,0.639,2,74,0
32962.42,0.4727,0,86,0
60705.17,0.2819,1,29,0
48152.28,0.3449,0,48,1
51665.58,0.2225,1,116,0
94017.95,0.4614,0,202,1
76278.92,0.5705,0,274,1
109297.54,0.2231,0,105,1
55852.66,0.3842,2,180,0
43775.34,0.3265,2,207,0
54136.48,0.4983,2,61,0
66777.64,0.5099,0,36,1
64825.74,0.3706,0,135,1
36754.85,0.1757,0,24,0
62362.56,0.2327,0,106,0
66350.25,0.3451,1,126,0
185881.25,0.4701,0,243,1
139327.15,0.6591,1,47,1
40783.81,0.7555,1,39,0
52610.84,0.1541,1,162,1
30990.97,0.6167,2,157,0
45898.23,0.3652,2,157,0
69011.07,0.7978,0,145,0
103015.44,0.3017,0,72,1
43127.33,0.0469,2,69,0
44606.47,0.3248,1,138,1
22781.86,0.4873,0,210,0
55647.94,0.0851,1,164,1
37120.09,0.5786,1,135,0
47181.27,0.2879,1,61,0
40352.66,0.5782,0,52,0
57387.5,0.3373,1,80,0
27147.01,0.5927,1,180,0
30940.76,0.4751,2,382,0
156085.81,0.3636,2,75,0
33545.56,0.3252,0,144,0
36550.37,0.5684,1,81,0
136845.95,0.3513,2,126,1
221301.26,0.3091,0,204,1
35340.86,0.3678,0,178,1
50730.77,0.1837,0,177,1
69821.69,0.1034,0,112,1
130341.6,0.7107,0,20,0
38403.9,0.1021,0,101,0
53617.19,0.3883,0,112,0
84948.62,0.6539,0,80,0
72812.63,0.1654,1,120,1
50550.58,0.4904,0,144,1
56374.92,0.369,1,37,0
32250.76,0.3007,0,85,1
53788.87,0.3962,0,67,0
53110.27,0.116,2,183,0
66468.04,0.1362,2,136,1
46634.82,0.2109,1,76,0
74027.53,0.204,1,16,1
94440.2,0.4306,0,121,1
64211.86,0.0472,1,75,1
70142.94,0.3047,0,194,1
61323.59,0.5112,1,93,0
59876.42,0.3353,0,116,1
43273.64,0.0918,0,253,1
69038.69,0.7959,0,83,0
57309.46,0.5504,0,59,0
153572.15,0.2104,0,283,1
121541.34,0.192,0,138,1
71227.26,0.0854,0,59,1
42473.02,0.3915,1,175,0
36294.26,0.5866,1,149,0
102335.75,0.3782,1,177,1
67389.0,0.3458,1,182,1
74314.74,0.1305,0,272,1
27308.04,0.641,2,286,0
90884.73,0.5864,0,49,0
73459.47,0.3454,1,38,0
36326.62,0.0896,0,222,1
48427.05,0.0624,1,52,0
67418.37,0.6325,4,105,0
61304.59,0.4518,1,115,0
52497.61,0.3556,0,299,1
57149.75,0.4241,0,193,1
53455.79,0.1391,1,146,0
64129.08,0.304,3,52,0
116095.85,0.1276,0,83,1
18863.87,0.4304,1,121,0
53820.91,0.4553,1,239,1
64823.96,0.1537,0,10,1
68404.73,0.0072,2,255,1
50647.16,0.3501,1,105,0
27159.31,0.3811,1,285,0
69396.93,0.2932,3,46,0
130262.59,0.5029,1,172,1
30024.3,0.4642,2,172,0
88320.07,0.2824,0,132,1
51645.77,0.2999,0,88,0
58244.45,0.3416,0,350,1
37279.38,0.4726,1,165,0
51508.12,0.4103,0,180,1
107475.7,0.1564,1,321,1
77823.2,0.1118,1,92,0
130553.74,0.4016,1,147,1
101705.37,0.3372,0,113,1
72954.34,0.3167,0,26,0
131238.37,0.0653,1,90,1
72951.27,0.4301,0,142,1
86907.07,0.18,0,108,1
52393.78,0.5948,0,170,1
61694.23,0.2165,0,182,1
43746.17,0.1115,0,82,1
93462.24,0.5738,0,109,1
35233.88,0.08,1,52,0
85140.46,0.1544,0,60,1
54951.54,0.7403,1,67,0
101423.61,0.2842,1,94,1
83942.81,0.5702,2,160,0
135847.85,0.0539,1,195,1
83187.19,0.2095,0,123,1
29512.87,0.2452,0,34,0
58097.1,0.2565,1,92,0
35333.85,0.3444,1,41,0
47418.8,0.5934,3,86,0
118190.47,0.0625,1,143,1
79769.0,0.0548,0,69,1
43716.52,0.2517,0,77,1
37942.5,0.2544,0,48,1
60763.95,0.7784,0,271,1
34632.5,0.7623,0,202,0
44266.65,0.1921,1,73,0
68899.5,0.043,0,34,1
100698.93,0.3156,0,95,1
78742.84,0.0425,2,109,1
21352.41,0.1317,1,61,0
68662.95,0.2955,0,14,1
61846.77,0.7488,1,330,0
72131.83,0.479,0,232,1
123907.97,0.3396,1,164,1
23660.04,0.4875,0,40,0
45890.04,0.2828,1,121,0
78112.69,0.5767,0,194,1
29386.26,0.0782,0,216,1
116328.93,0.4103,0,104,1
70668.87,0.4833,0,80,0
87637.37,0.2936,1,115,1
46308.25,0.3311,2,219,0
86352.55,0.4169,0,125,1
96839.69,0.0931,3,164,0
66489.22,0.7515,1,49,0
66534.8,0.1586,0,24,1
67619.69,0.6019,1,82,0
40598.83,0.4562,0,57,0
56028.29,0.0855,0,78,1
55902.53,0.1421,1,112,0
71148.69,0.1622,3,25,0
93893.92,0.2355,2,152,0
37184.93,0.2459,0,95,1
56598.96,0.6944,0,10,0
116617.54,0.2463,2,95,0
42846.76,0.1864,1,189,1
41356.61,0.1482,0,20,0
65580.77,0.5884,1,86,0
87550.7,0.1097,0,131,1
60182.79,0.6297,0,186,1
108883.33,0.6803,1,366,1
88040.95,0.2463,1,46,1
87449.7,0.5344,1,54,0
76830.15,0.3431,0,161,1
170662.62,0.1294,2,84,1
54593.89,0.3913,0,44,1
24304.46,0.502,0,75,0
123243.14,0.4978,0,119,1
48729.27,0.3497,3,49,0
62852.51,0.0615,1,143,1
107936.44,0.0693,0,192,1
29114.26,0.2788,1,83,0
34089.98,0.5202,0,42,0
29127.12,0.1949,0,72,0
41883.14,0.3851,0,159,0
72972.39,0.2653,0,78,1
75802.35,0.2126,0,46,1
67800.4,0.3034,0,99,1
31705.81,0.4708,0,242,0
21172.39,0.1227,0,130,0
61356.67,0.1719,0,94,1
48421.58,0.5754,0,73,0
73623.8,0.1064,0,92,1
82115.26,0.4403,0,146,1
63717.13,0.2049,1,103,1
84293.49,0.1159,0,39,1
66379.6,0.3398,1,131,0
76003.08,0.558,1,154,0
43603.69,0.1373,0,58,1
55225.21,0.4845,1,35,0
65417.77,0.1576,0,45,1
86615.82,0.448,0,58,0
50152.14,0.4031,2,201,0
75699.38,0.3163,0,119,1
53123.39,0.4052,1,143,0
56789.46,0.0709,1,133,0
86966.96,0.0896,0,40,1
24419.15,0.1171,0,208,1
33409.23,0.2934,2,121,0
30730.67,0.6455,1,43,0
20949.56,0.4016,0,49,0
44124.97,0.5282,0,136,0
83888.62,0.2646,0,78,1
52670.05,0.0925,0,135,1
65447.63,0.3162,2,203,0
97747.99,0.3679,0,205,1
108820.91,0.4695,0,240,1
58040.01,0.3158,1,141,1
110096.62,0.2241,0,131,1
62408.51,0.1186,2,133,0
41075.65,0.4425,0,127,0
45822.01,0.2221,1,214,0
30753.48,0.2325,2,163,0
40148.48,0.3656,2,134,0
50964.9,0.5175,2,148,0
85957.93,0.2693,1,81,0
129877.43,0.1145,3,61,0
32145.2,0.2228,2,187,0
71451.37,0.3218,0,157,1
37487.22,0.3535,0,238,1
74132.82,0.202,1,166,1
56444.38,0.1505,0,68,1
26267.62,0.3773,1,71,0
90919.85,0.2709,0,184,1
45603.95,0.542,1,59,0
47086.65,0.0805,1,179,1
36997.71,0.2784,0,69,1
44603.72,0.3572,0,112,0
72587.7,0.2896,1,107,1
54986.34,0.4165,0,141,1
69417.75,0.2489,0,178,1
70464.54,0.2286,1,184,1
108477.47,0.5813,0,46,0
51315.4,0.3636,0,86,1
30804.44,0.4964,2,106,0
96785.27,0.5498,0,26,0
51576.96,0.3393,0,114,1
98870.54,0.4196,3,37,0
71148.16,0.2971,0,83,1
56443.09,0.6003,0,170,1
70048.92,0.0281,0,167,1
144055.75,0.1565,0,78,1
152457.51,0.4477,0,76,1
61772.99,0.4845,0,67,1
64349.59,0.4356,1,111,1
97178.82,0.3445,1,175,1
40923.2,0.3551,0,122,0
69555.6,0.4559,0,35,0
59181.35,0.3843,1,391,0
68958.4,0.5195,1,179,0
41150.2,0.4692,1,151,0
29281.01,0.4514,1,153,0
23556.51,0.5091,1,110,0
36213.13,0.2874,0,123,0
48707.88,0.3474,2,99,0
52473.51,0.3872,0,216,1
143165.13,0.5121,0,141,1
98488.69,0.0863,0,152,1
38834.29,0.3912,1,99,0
70015.28,0.581,1,36,0
49852.04,0.4999,0,133,1
52682.38,0.4559,0,150,1
65081.56,0.4001,1,26,0
79112.57,0.4545,1,45,0
51396.93,0.1701,1,22,0
96638.57,0.6298,0,72,0
35815.2,0.0514,1,115,0
60045.18,0.5451,0,153,0
192712.2,0.0484,0,103,1
66196.7,0.6048,1,48,0
114113.24,0.4352,1,62,1
62391.48,0.3371,2,297,1
77757.45,0.3894,2,49,0
58363.59,0.3502,1,49,0
55454.41,0.0259,0,54,1
42160.24,0.2986,0,137,0
72666.49,0.4512,1,109,0
40815.14,0.7087,0,143,0
80782.32,0.3297,1,158,1
97575.25,0.2711,2,73,0
70610.85,0.0522,0,122,1
52637.71,0.2327,0,57,1
73444.44,0.3362,0,22,1
52109.22,0.4625,0,185,1
91216.97,0.1663,0,75,1
26261.71,0.5582,0,127,0
51481.44,0.4075,0,96,0
24443.87,0.3143,1,148,0
30553.14,0.6398,0,232,0
110606.93,0.338,2,33,0
89575.15,0.5552,1,216,1
43314.12,0.4276,0,247,1
30450.98,0.3745,1,135,0
15771.54,0.3028,0,262,1
46883.78,0.1118,1,137,0
177937.34,0.0913,0,50,1
72816.5,0.3276,1,129,1
46545.82,0.3753,1,88,0
73812.7,0.2085,1,117,1
29660.42,0.4711,0,75,0
52376.04,0.1006,1,83,0
62615.3,0.2933,0,213,1
57598.67,0.4595,1,113,0
85465.05,0.4023,0,217,1
69918.84,0.2261,1,37,0
80882.01,0.3852,2,75,0
43924.72,0.165,1,83,0
89681.24,0.4998,1,155,1
124619.66,0.4388,0,81,1
38693.72,0.3036,0,123,1
40156.39,0.1793,0,128,0
109218.2,0.3004,2,73,0
54934.41,0.5848,2,34,0
112613.81,0.1776,1,176,1
49062.92,0.3173,2,179,0
115239.81,0.0242,1,59,1
63523.72,0.5653,0,83,1
67252.06,0.4961,0,76,1
121069.87,0.3197,0,229,1
50878.89,0.482,0,114,0
39202.47,0.5316,0,145,0
48930.01,0.2473,0,79,1
73390.54,0.3675,1,192,1
29596.41,0.2513,1,73,0
79766.74,0.5382,1,109,0
46983.55,0.1574,0,396,1
100359.67,0.6575,1,49,0
20385.58,0.2165,0,18,0
42026.07,0.1522,1,66,0
28031.65,0.583,0,97,0
41282.61,0.4616,0,86,0
66933.15,0.4269,4,80,0
55234.78,0.391,0,70,0
53422.12,0.7119,1,42,0
55735.18,0.3475,1,219,1
65612.71,0.0473,0,104,1
38031.07,0.5473,0,85,0
82296.37,0.3575,2,133,0
80676.26,0.2214,2,141,0
71201.35,0.7747,0,69,0
76913.76,0.2456,1,184,1
68417.79,0.0898,1,83,0
149609.37,0.3176,1,238,1
57572.92,0.0385,0,44,1
52146.51,0.4411,0,37,0
42655.55,0.356,0,304,1
37627.17,0.369,0,59,0
34200.23,0.5452,0,59,0
40136.49,0.1301,1,62,1
57999.74,0.0625,0,177,1
69593.94,0.4691,1,28,0
61268.06,0.3942,0,62,0
42425.68,0.0669,1,45,0
89776.91,0.73,0,154,0
83511.17,0.2634,1,172,1
55723.56,0.359,0,154,1
44631.17,0.1731,1,116,0
76633.73,0.5921,0,33,0
65159.16,0.5521,1,128,0
31205.28,0.1368,0,197,1
58070.26,0.3054,0,187,1
67367.37,0.3673,2,63,0
39940.15,0.2327,0,99,1
65214.01,0.4908,0,174,1
31111.41,0.4947,0,157,0
109237.94,0.1336,0,120,1
104985.5,0.5892,0,184,1
53442.8,0.4224,0,165,1
70513.15,0.2078,0,182,1
20242.41,0.4445,0,231,0
35583.72,0.3303,0,114,0
52459.64,0.4376,0,164,1
36958.1,0.7064,0,104,0
82576.33,0.5034,0,50,1
147087.58,0.2002,0,240,1
35260.67,0.4823,0,253,1
41074.45,0.3246,1,134,0
66566.17,0.5286,1,76,0
123624.28,0.1817,0,92,1
34542.01,0.2694,1,32,0
66974.43,0.2204,0,127,1
135887.75,0.2175,2,55,1
28472.91,0.4406,0,146,0
33641.61,0.5356,1,128,0
49482.63,0.4521,0,127,0
47369.57,0.2533,0,80,1
86307.4,0.3676,0,274,1
66752.49,0.3218,1,212,1
26937.3,0.2501,3,101,0
75503.53,0.3699,0,157,1
46171.02,0.485,0,162,1
106244.81,0.3411,0,124,1
45142.78,0.2052,0,166,1
44959.76,0.3042,1,165,0
76382.53,0.2536,1,77,1
84399.51,0.3506,0,136,1
73250.82,0.3054,0,118,1
28042.63,0.2198,0,111,1
76276.14,0.2661,0,72,1
37592.56,0.1025,1,51,0
66561.01,0.3423,2,71,0
31549.7,0.3112,0,88,0
73192.26,0.6887,0,128,0
41648.91,0.4357,1,107,0
33617.92,0.3144,2,227,0
82554.92,0.056,0,96,1
66752.03,0.1351,1,227,1
45420.12,0.5289,2,104,0
115039.46,0.3074,0,84,1
49104.52,0.2855,1,60,0
60745.51,0.5014,0,113,0
67576.19,0.4321,0,62,1
45303.99,0.2934,0,100,0
74014.13,0.2826,1,33,0
47096.15,0.3151,2,66,0
49749.85,0.2245,1,115,0
110546.24,0.2419,1,130,1
37486.5,0.2103,0,291,1
20216.39,0.3482,0,148,1
123614.32,0.3613,1,254,1
188564.91,0.0541,0,150,1
49892.64,0.7052,1,123,0
25044.83,0.3305,0,178,1
52066.77,0.3739,1,117,0
52638.32,0.1607,1,85,0
54969.53,0.5881,0,127,0
36278.31,0.3959,1,56,0
77714.92,0.4435,0,31,0
75813.25,0.2827,0,115,1
30562.15,0.5135,1,221,0
82013.45,0.2299,1,270,1
150799.77,0.825,0,73,0
64691.31,0.0971,2,81,0
51441.66,0.2241,1,147,1
56167.78,0.097,0,175,1
78973.34,0.4709,0,177,0
27479.56,0.3585,1,101,0
64471.32,0.3418,1,74,0
50226.16,0.4554,0,77,1
137519.53,0.3942,1,169,1
55360.54,0.3785,1,39,0
126823.22,0.5401,0,173,1
36436.15,0.1118,0,282,1
77984.6,0.5186,0,89,1
69129.04,0.3412,0,286,1
40494.8,0.678,0,26,0
64849.74,0.5906,0,164,1
103324.88,0.3759,1,73,0
51755.9,0.1422,0,168,1
27962.42,0.1355,0,60,0
59402.81,0.1343,0,131,1
39891.14,0.568,2,141,0
51325.68,0.4872,2,186,0
57715.76,0.218,0,107,0
27790.69,0.2797,0,108,0
28939.24,0.2311,0,36,0
74379.09,0.3089,1,31,0
47324.18,0.5795,0,147,0
18880.12,0.2597,1,91,0
85236.06,0.2728,0,117,1
67681.38,0.077,1,40,1
43423.51,0.629,0,82,0
33104.56,0.3841,1,173,0
87213.42,0.3693,0,105,1
70067.04,0.5654,1,119,0
174935.22,0.4839,1,93,1
72336.55,0.1858,0,174,1
71286.8,0.2298,0,151,1
55541.31,0.2895,2,93,0
86469.68,0.1078,0,104,1
79323.39,0.3754,1,87,0
105163.99,0.6134,0,72,1
47353.91,0.1136,2,342,1
49220.56,0.5301,2,167,0
48262.18,0.3644,1,48,0
85464.88,0.3734,2,116,0
117508.8,0.3305,0,131,1
48704.26,0.5616,1,27,0
49456.65,0.2538,1,191,1
68963.64,0.329,2,160,0
53605.52,0.4508,1,223,0
91897.04,0.1553,0,277,1
21735.46,0.4166,0,26,0
41273.78,0.7314,0,29,0
42104.62,0.2107,1,92,0
21074.94,0.4703,0,28,0
38807.26,0.2971,1,79,0
39663.23,0.1297,1,60,0
54693.65,0.5612,0,116,0
98798.2,0.2893,2,88,0
53622.43,0.1331,1,164,1
37651.72,0.5452,0,249,1
58359.09,0.7072,1,75,0
96002.37,0.6503,1,88,0
38592.7,0.3166,1,91,0
39745.08,0.3739,0,113,1
76983.55,0.5241,1,67,0
54193.09,0.4261,2,180,0
80127.0,0.4559,0,146,1
59507.58,0.1627,0,67,0
82104.54,0.2451,0,34,0
37579.53,0.2868,0,267,1
59549.42,0.0853,1,173,1
54458.24,0.3698,0,23,1
34642.93,0.3223,1,374,1
29626.81,0.5977,1,197,0
81518.65,0.7363,0,147,1
51127.17,0.2165,1,73,1
37796.58,0.4572,1,164,0
57338.04,0.1836,0,35,1
99469.71,0.2947,1,87,0
21454.03,0.3037,1,210,1
30531.45,0.2249,0,115,0
39525.49,0.3188,0,174,1
115558.31,0.1999,0,50,1
67993.28,0.2632,1,73,0
84566.44,0.6906,0,145,1
35843.86,0.3614,1,164,0
36178.09,0.4309,0,114,0
73241.4,0.1547,1,143,1
61465.02,0.3246,0,129,1
76644.45,0.1762,1,93,0
55025.28,0.6228,0,89,0
67857.46,0.5425,2,125,0
64289.63,0.1739,2,101,0
84965.05,0.2966,1,182,1
86090.45,0.3129,0,186,1
28884.42,0.1554,0,108,1
21779.6,0.3207,0,93,0
93975.13,0.5872,0,155,1
102178.47,0.3436,0,174,1
37824.78,0.5274,0,21,0
25927.88,0.3952,0,155,1
62602.82,0.3602,0,247,1
91023.88,0.1081,2,184,1
134445.95,0.1695,0,121,1
75533.68,0.2754,0,316,1
50651.67,0.2499,1,155,0
40058.3,0.6784,2,93,0
60183.47,0.433,0,196,1
52330.3,0.1959,0,111,1
37919.45,0.5618,0,195,1
150533.37,0.4929,0,137,1
133696.26,0.1188,1,115,1
99829.79,0.3352,3,134,0
39561.72,0.6482,0,77,1
87970.67,0.1494,1,84,0
79844.15,0.3182,0,163,1
73067.98,0.6517,2,169,0
105066.56,0.4372,3,246,0
79691.4,0.2634,0,133,1
83533.78,0.2299,0,155,1
79746.48,0.6718,0,44,0
69797.69,0.0979,0,65,1
26832.66,0.5293,0,102,0
62170.1,0.3279,1,125,0
46616.68,0.452,2,74,0
33660.21,0.4069,1,173,0
127620.65,0.2892,2,113,0
130359.06,0.6047,3,103,0
110376.14,0.2309,0,152,1
67160.87,0.2552,1,140,1
109950.03,0.274,1,95,1
60199.78,0.5308,1,153,0
65595.26,0.375,0,106,0
36604.92,0.4491,0,121,0
71585.38,0.3742,1,187,1
61523.45,0.2769,0,195,0
33316.45,0.3005,0,148,0
58510.49,0.0732,0,135,1
57764.04,0.5824,2,107,0
134443.93,0.2065,3,88,0
89535.99,0.4777,0,331,1
60183.32,0.2453,0,244,1
66966.94,0.0962,0,99,1
61077.3,0.5615,1,156,0
54649.14,0.4664,0,188,1
36787.29,0.2405,0,63,1
55939.54,0.3604,1,122,0
42798.39,0.6833,0,139,0
34110.41,0.133,1,283,1
75361.35,0.451,0,130,1
71401.14,0.1481,1,51,0
26795.3,0.0611,0,197,1
56658.19,0.2057,0,189,1
93719.88,0.184,0,121,1
96437.53,0.5664,1,88,0
94999.47,0.2444,0,134,1
60931.83,0.2486,0,139,1
40934.54,0.3244,0,197,0
36766.25,0.4835,0,113,0
69917.57,0.5171,0,227,1
71017.1,0.1247,1,87,1
106862.58,0.4108,0,161,1
98222.52,0.2501,0,62,1
56415.38,0.1501,0,145,1
34204.32,0.1615,0,79,0
51865.13,0.5949,1,91,0
66022.71,0.3889,0,69,1
54669.57,0.365,0,152,1
46163.64,0.3096,1,88,0
67090.53,0.5536,0,45,0
47725.4,0.6268,0,49,0
45133.06,0.2356,2,252,1
68882.25,0.1912,1,171,1
49966.26,0.1187,0,75,1
66825.96,0.4384,2,26,0
67706.79,0.2183,1,65,0
35855.67,0.2919,0,152,1
48215.77,0.1611,1,204,1
114347.76,0.2816,1,283,1
35492.06,0.2034,1,129,0
23098.1,0.1674,0,76,1
25904.44,0.1178,0,55,0
60663.62,0.1985,0,113,1
60712.98,0.1285,4,31,0
56787.7,0.1582,0,92,1
103402.6,0.0459,1,197,1
17983.76,0.763,0,192,0
71551.32,0.4963,0,77,0
120891.31,0.0405,1,150,1
36044.11,0.5512,0,144,0
50467.61,0.6749,2,71,0
42667.75,0.2472,2,131,0
40036.4,0.2886,0,37,0
51698.4,0.768,0,55,0
113819.41,0.3458,0,141,1
136875.09,0.5214,0,37,1
51473.76,0.0832,0,28,1
141107.47,0.0483,0,168,1
60840.41,0.2989,0,32,0
131815.82,0.2816,1,70,0
57412.4,0.4677,1,248,1
63511.48,0.1374,1,51,1
70577.28,0.4354,0,159,1
250317.19,0.4235,0,84,1
87822.98,0.5612,1,115,0
43552.87,0.5589,1,71,0
92600.43,0.2512,0,177,1
50877.46,0.394,2,138,0
48031.5,0.2453,1,167,0
90117.59,0.3152,0,180,1
60717.58,0.2299,0,163,1
67870.66,0.4806,1,118,0
60252.14,0.8065,0,122,0
69665.63,0.0841,0,70,1
72492.23,0.5012,1,105,0
25043.38,0.3958,0,150,0
80818.22,0.4562,0,87,1
38487.6,0.1763,0,103,0
31287.23,0.0771,0,35,0
58320.85,0.2286,0,66,1
62180.17,0.2154,0,126,1
43823.36,0.5851,0,119,0
87026.19,0.4294,0,136,1
32729.14,0.3182,0,276,1
49855.06,0.3259,0,119,0
46018.86,0.6519,1,79,0
58631.99,0.3344,0,115,1
67879.47,0.4868,1,377,1
38042.08,0.6884,0,107,0
82944.52,0.4822,2,26,0
61595.93,0.3416,0,331,1
25555.92,0.089,0,133,1
24800.87,0.1628,0,75,0
